[0.000000] (-) TimerEvent: {}
[0.000226] (-) JobUnselected: {'identifier': 'isaac_ros_apriltag_interfaces'}
[0.000401] (-) JobUnselected: {'identifier': 'isaac_ros_bi3d_interfaces'}
[0.000425] (-) JobUnselected: {'identifier': 'isaac_ros_common'}
[0.000560] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_bridge_interfaces'}
[0.000579] (-) JobUnselected: {'identifier': 'isaac_ros_nova_interfaces'}
[0.000596] (-) JobUnselected: {'identifier': 'isaac_ros_pointcloud_interfaces'}
[0.000613] (-) JobUnselected: {'identifier': 'isaac_ros_tensor_list_interfaces'}
[0.000629] (-) JobUnselected: {'identifier': 'isaac_ros_test'}
[0.000645] (-) JobUnselected: {'identifier': 'lidar3d_clustering'}
[0.000661] (-) JobUnselected: {'identifier': 'lidar_ground_getter'}
[0.000677] (-) JobUnselected: {'identifier': 'lidar_imu_sync'}
[0.000693] (-) JobUnselected: {'identifier': 'lidar_path_to_odom'}
[0.000721] (-) JobUnselected: {'identifier': 'lio_sam'}
[0.000769] (-) JobUnselected: {'identifier': 'ros_compatibility'}
[0.000786] (-) JobUnselected: {'identifier': 'sdv_can'}
[0.000803] (-) JobUnselected: {'identifier': 'sdv_control'}
[0.000819] (-) JobUnselected: {'identifier': 'sdv_description'}
[0.000835] (-) JobUnselected: {'identifier': 'sdv_launch'}
[0.000850] (-) JobUnselected: {'identifier': 'sdv_lidar_processing'}
[0.000867] (-) JobUnselected: {'identifier': 'sdv_localization'}
[0.000897] (-) JobUnselected: {'identifier': 'sdv_manual_control'}
[0.000913] (-) JobUnselected: {'identifier': 'sdv_msgs'}
[0.000929] (-) JobUnselected: {'identifier': 'sdv_robot_description'}
[0.000945] (-) JobUnselected: {'identifier': 'vectornav'}
[0.000961] (-) JobUnselected: {'identifier': 'vectornav_msgs'}
[0.000978] (-) JobUnselected: {'identifier': 'voxel_grid_filter'}
[0.000993] (-) JobUnselected: {'identifier': 'waypoints_niagara_creator'}
[0.001010] (-) JobUnselected: {'identifier': 'waypoints_niagara_loader'}
[0.001200] (-) EventReactorShutdown: {}
